word,cnt_in_true,cnt_in_fake,freq_true,freq_fake,total_cnt
former,309,1290,0.0028800715823616586,0.025547589812651008,1599
hand,1119,480,0.010429773788552414,0.009506079930288748,1599
world,1342,241,0.012508272050256784,0.004772844298332475,1583
last,1124,443,0.010476376888590629,0.00877331960232899,1567
multiple,4,1563,3.7282480030571634e-05,0.030954172773002733,1567
announces,1482,76,0.013813158851326791,0.0015051293222957183,1558
move,1440,115,0.013421692811005788,0.002277498316631679,1555
died,14,1523,0.00013048868010700072,0.03016199944547867,1537
going,878,650,0.008183504366710474,0.012872816572266011,1528
la,1479,24,0.013785196991303861,0.0004753039965144374,1503
deal,1100,400,0.0102526820084072,0.007921733275240622,1500
americans,1168,329,0.010886484168926918,0.006515625618885412,1497
jessye,1,1495,9.320620007642909e-06,0.029607478116211828,1496
old,1332,164,0.012415065850180354,0.003247910642848655,1496
norman,1,1495,9.320620007642909e-06,0.029607478116211828,1496
dad,1487,8,0.013859761951365004,0.00015843466550481244,1495
bombshell,101,1392,0.0009413826207719338,0.027567631797837368,1493
story,480,1011,0.004473897603668596,0.020022180853170674,1491
since,420,1071,0.003914660403210021,0.021210440844456765,1491
tv,1410,71,0.0131420742107765,0.0014061076563552106,1481
doesnt,1015,464,0.009460429307757551,0.009189210599279123,1479
high,1405,66,0.013095471110738286,0.0013070859904147027,1471
hell,1355,110,0.012629440110356141,0.002178476650691171,1465
phillies,1463,1,0.013636067071181575,1.9804333188101555e-05,1464
winner,13,1450,0.00012116806009935781,0.028716283122747256,1463
74,1,1458,9.320620007642909e-06,0.02887471778825207,1459
voice,7,1452,6.524434005350036e-05,0.02875589178912346,1459
soprano,1,1458,9.320620007642909e-06,0.02887471778825207,1459
regal,1,1456,9.320620007642909e-06,0.028835109121875868,1457
br,1,1453,9.320620007642909e-06,0.02877569612231156,1454
grammy,1,1450,9.320620007642909e-06,0.028716283122747256,1451
shimmering,1,1450,9.320620007642909e-06,0.028716283122747256,1451
think,608,828,0.005666936964646888,0.01639798787974809,1436
senate,18,1415,0.00016777116013757235,0.028023131461163704,1433
‘american,1423,1,0.013263242270875858,1.9804333188101555e-05,1424
bar,1408,14,0.013123432970761215,0.0002772606646334218,1422
attack,892,520,0.008313993046817474,0.01029825325781281,1412
switched,1407,3,0.013114112350753573,5.941299956430467e-05,1410
rerun,1403,1,0.013076829870723,1.9804333188101555e-05,1404
pay,1341,63,0.01249895143024914,0.001247672990850398,1404
police,1333,66,0.012424386470187997,0.0013070859904147027,1399
omar,1276,118,0.01189311112975235,0.0023369113161959836,1394
wing,1349,44,0.012573516390310284,0.0008713906602764685,1393
16,1273,114,0.011865149269729423,0.0022576939834435773,1387
america,902,479,0.008407199246893904,0.009486275597100646,1381
clinton,72,1308,0.0006710846405502894,0.025904067810036836,1380
told,639,731,0.005955876184883819,0.014476967560502239,1370
star,1330,35,0.012396424610165067,0.0006931516615835545,1365
really,1111,248,0.010355208828491272,0.004911474630649186,1359
allowed,31,1323,0.00028893922023693014,0.02620113280785836,1354
asks,1258,79,0.011725339969614779,0.001564542321860023,1337
