two_words,cnt_in_true,cnt_in_fake,freq_true,freq_fake,total_cnt
"('to', 'the')",452,1110,0.004212920243454594,0.02198280983879273,1562
"('to', 'be')",398,1152,0.0037096067630418774,0.022814591832692993,1550
"('trump', 'is')",378,1159,0.0035231943628890195,0.022953222165009703,1537
"('jessye', 'norman')",1,1495,9.320620007642909e-06,0.029607478116211828,1496
"('american', 'dad')",1483,1,0.013822479471334434,1.9804333188101555e-05,1484
"('at', '74')",1,1458,9.320620007642909e-06,0.02887471778825207,1459
"('regal', 'american')",1,1456,9.320620007642909e-06,0.028835109121875868,1457
"('american', 'soprano')",1,1456,9.320620007642909e-06,0.028835109121875868,1457
"('died', 'at')",1,1452,9.320620007642909e-06,0.02875589178912346,1453
"('has', 'died')",1,1452,9.320620007642909e-06,0.02875589178912346,1453
"('brought', 'a')",1,1451,9.320620007642909e-06,0.02873608745593536,1452
"('a', 'shimmering')",1,1450,9.320620007642909e-06,0.028716283122747256,1451
"('a', 'br')",1,1450,9.320620007642909e-06,0.028716283122747256,1451
"('74', 'the')",1,1450,9.320620007642909e-06,0.028716283122747256,1451
"('the', 'multiple')",1,1450,9.320620007642909e-06,0.028716283122747256,1451
"('multiple', 'grammy')",1,1450,9.320620007642909e-06,0.028716283122747256,1451
"('grammy', 'award')",1,1450,9.320620007642909e-06,0.028716283122747256,1451
"('norman', 'the')",1,1450,9.320620007642909e-06,0.028716283122747256,1451
"('award', 'winner')",1,1450,9.320620007642909e-06,0.028716283122747256,1451
"('the', 'regal')",1,1450,9.320620007642909e-06,0.028716283122747256,1451
"('winner', 'brought')",1,1450,9.320620007642909e-06,0.028716283122747256,1451
"('soprano', 'has')",1,1450,9.320620007642909e-06,0.028716283122747256,1451
"('shimmering', 'voice')",1,1450,9.320620007642909e-06,0.028716283122747256,1451
"('voice', 'to')",1,1450,9.320620007642909e-06,0.028716283122747256,1451
"('to', 'move')",1425,7,0.013281883510891145,0.0001386303323167109,1432
"('white', 'house')",86,1339,0.0008015733206572901,0.026518002138867985,1425
"('‘', 'american')",1423,1,0.013263242270875858,1.9804333188101555e-05,1424
"('in', 'la')",1407,9,0.013114112350753573,0.000178238998692914,1416
"('over', 'to')",1407,1,0.013114112350753573,1.9804333188101555e-05,1408
"('switched', 'over')",1404,1,0.013086150490730643,1.9804333188101555e-05,1405
"('la', 'bar')",1403,1,0.013076829870723,1.9804333188101555e-05,1404
"('rerun', 'without')",1403,1,0.013076829870723,1.9804333188101555e-05,1404
"('dad', 'rerun')",1403,1,0.013076829870723,1.9804333188101555e-05,1404
"('bar', 'switched')",1403,1,0.013076829870723,1.9804333188101555e-05,1404
"('tv', 'in')",1403,1,0.013076829870723,1.9804333188101555e-05,1404
"('without', 'complaint')",1402,1,0.013067509250715358,1.9804333188101555e-05,1403
"('by', 'this')",7,1317,6.524434005350036e-05,0.02608230680872975,1324
"('president', 'was')",1265,49,0.011790584309668279,0.0009704123262169763,1314
"('poverty', 'and')",1,1305,9.320620007642909e-06,0.02584465481047253,1306
"('the', 'trump')",10,1290,9.320620007642909e-05,0.025547589812651008,1300
"('in', 'latest')",1233,58,0.011492324469423706,0.0011486513249098903,1291
"('allowed', 'to')",19,1272,0.00017709178014521526,0.02519111181526518,1291
"('willing', 'to')",1257,32,0.011716019349607136,0.0006337386620192498,1289
"('to', 'get')",960,324,0.008947795207337192,0.006416603952944904,1284
"('that', 'the')",59,1223,0.0005499165804509316,0.024220699489048203,1282
"('bryce', 'harper')",1272,1,0.011855828649721779,1.9804333188101555e-05,1273
"('been', 'allowed')",5,1264,4.660310003821454e-05,0.025032677149760367,1269
"('was', 'behind')",1266,2,0.011799904929675921,3.960866637620311e-05,1268
"('promotion', 'to')",1265,1,0.011790584309668279,1.9804333188101555e-05,1266
"('to', '4')",1265,1,0.011790584309668279,1.9804333188101555e-05,1266
"('4', 'star')",1265,1,0.011790584309668279,1.9804333188101555e-05,1266
"('they', 'fled')",2,1264,1.8641240015285817e-05,0.025032677149760367,1266
"('denies', 'president')",1265,1,0.011790584309668279,1.9804333188101555e-05,1266
"('administration', 'denies')",1265,1,0.011790584309668279,1.9804333188101555e-05,1266
"('kushners', 'promotion')",1265,1,0.011790584309668279,1.9804333188101555e-05,1266
"('jared', 'kushners')",1265,1,0.011790584309668279,1.9804333188101555e-05,1266
"('behind', 'jared')",1265,1,0.011790584309668279,1.9804333188101555e-05,1266
"('my', 'grandparents')",1,1264,9.320620007642909e-06,0.025032677149760367,1265
"('grandparents', 'wouldve')",1,1264,9.320620007642909e-06,0.025032677149760367,1265
"('enter', 'by')",1,1264,9.320620007642909e-06,0.025032677149760367,1265
"('became', 'bricklayers')",1,1264,9.320620007642909e-06,0.025032677149760367,1265
"('and', 'became')",1,1264,9.320620007642909e-06,0.025032677149760367,1265
"('wouldve', 'been')",1,1264,9.320620007642909e-06,0.025032677149760367,1265
"('fled', 'poverty')",1,1264,9.320620007642909e-06,0.025032677149760367,1265
"('bricklayers', 'and')",1,1264,9.320620007642909e-06,0.025032677149760367,1265
"('sure', 'my')",1,1264,9.320620007642909e-06,0.025032677149760367,1265
